sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
FBA79333,X0021O5OQL,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,NewItem,,No,,Yes,1,0,1,0,1,,0,0,0,0,0,0,
FBA79333_Parent,X0021PBR61,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79346,X0020BGFWR,B0D25LNDSY,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,NewItem,,No,,Yes,43,43,0,0,43,,0,0,0,0,0,0,
FBA79347,X0020BF1E5,B0D25NYFFV,Smart Smile Electric USB TYpe C Toothbrushes (Pink),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79348,X0022KC71T,B0D81DLSFT,Nexlev Hair Dryer for Man & Women | 1200W Foldable Hair Dryer | Cool Shot Function | 3 Heat & 2 Speed Settings | Overheat Protection | Portable Blow Dryer for Women | Black & Copper,NewItem,,No,,Yes,106,103,0,3,106,,0,0,0,0,0,0,
FBA79349,X00230EXN3,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,NewItem,,No,,Yes,280,255,3,22,280,,0,0,0,0,0,0,
FBA79350,X0021O6W21,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79351,X002308L31,B0D9KB2RTT,"Nexlev Facial Device | Red & Blue Light Therapy| EMS Microcurrents| 4 modes| 5 Min Timer| Face Cleanser| Under eye care| Skin Tightening & lifting, wrinkle remover | USB Rechargeable| Elixir LE-01",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79351_Parent,X0029BYW5P,B0D9KB2RTT,"Nexlev Facial Device | Red & Blue Light Therapy| EMS Microcurrents| 4 modes| 5 Min Timer| Face Cleanser| Under eye care| Skin Tightening & lifting, wrinkle remover | USB Rechargeable| Elixir LE-01",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA79352,X0021MSS93,B0D637B562,Nexlev Splash Pet Water Fountain with LED Light | 2.0L Capacity | Ultra Quiet Cat Drinking Fountain with Filter | Automatic Pet Water Fountain for Cats and Small Dogs | Blue (WF-02-BL),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
