asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",BLR7,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.26,0.13,0.0037,2026-05,2083.88,INR,7.6889,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",HYD8,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.06,0.0,0.0017,2026-05,2083.88,INR,3.5464,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",DEL4,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.26,0.26,0.0000,2026-05,2083.88,INR,0.0,0.0
B0FQBTRM28,X002EDSM95,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",HYD3,IN,27.10,26.49,12.40,centimeter,0.52,kilograms,0.0089,cubic meter,15.32,0.0,0.1361,2026-05,2083.88,INR,283.6683,0.03
B0GN2LHJY4,X002IJA8JR,"Audio Array MT-12 12 Analog+2 Digital Channel Hybrid Analog+USB Mixer, 48kHz DSP, 4 XLR & 8 TRS Inputs, 3-Band EQ, +48V Phantom, 24dBu Balanced XLR Out, Graphical EQ, Type-C Power, Studio & Streaming",LKO1,IN,43.90,30.30,11.70,centimeter,2.69,kilograms,0.0156,cubic meter,1.68,0.0,0.0261,2026-05,2083.88,INR,54.4832,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",CCX1,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.32,0.26,0.0017,2026-05,2083.88,INR,3.5464,0.0
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",BLR7,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,10.23,4.13,0.0450,2026-05,2083.88,INR,93.6946,0.0
B0BLKBJ5HN,X001NY39F3,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",PNQ3,IN,28.80,25.81,10.00,centimeter,1.87,kilograms,0.0074,cubic meter,1.0,0.0,0.0074,2026-05,2083.88,INR,15.4898,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",BLR8,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,1.06,0.0,0.0301,2026-05,2083.88,INR,62.7088,0.0
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",DEL4,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,5.26,2.26,0.0161,2026-05,2083.88,INR,33.6411,0.81
