ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M7V4GWY,FBA STA (24/08/2026 12:47)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79971,X002HNG2AD,80,0,0
FBA15M7W8942,FBA STA (24/08/2026 12:49)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79567,X0026FJYJD,24,0,0
FBA15M7W8942,FBA STA (24/08/2026 12:49)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79971,X002HNG2AD,35,0,0
FBA15M7W9JZL,FBA STA (24/08/2026 12:50)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79567,X0026FJYJD,24,0,0
FBA15M7W9JZL,FBA STA (24/08/2026 12:50)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79971,X002HNG2AD,30,0,0
FBA15M7W97X9,FBA STA (24/08/2026 13:05)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79812,X002F7TH85,64,0,0
FBA15M7P52PP,FBA STA (24/08/2026 13:09)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79679,X002876EAV,40,0,0
FBA15M7W994C,FBA STA (24/08/2026 13:10)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79812,X002F7TH85,64,0,0
FBA15M7V56QP,FBA STA (24/08/2026 13:11)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79679,X002876EAV,40,0,0
FBA15M7XL7QH,FBA STA (24/08/2026 13:12)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79679,X002876EAV,35,0,0
FBA15M7XL88X,FBA STA (24/08/2026 13:13)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79679,X002876EAV,15,0,0
FBA15M7W7XLN,FBA STA (24/08/2026 13:15)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, MH",FBA79679,X002876EAV,10,0,0
FBA15M7HLDQ3,FBA STA (24/08/2026 13:15)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79679,X002876EAV,10,0,0
FBA15M7P4QLT,FBA STA (24/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79991,X002IK70C9,153,0,0
