asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",CJB1,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,1.0,0.0,0.0028,2026-05,2083.88,INR,5.777,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",DEL5,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,0.23,0.23,0.0000,2026-05,2083.88,INR,0.0,0.0
B0BRCR2QQ7,X0026KGQB7,"TONOR USB Gaming Microphone, RGB Streaming Microfono Set, PC Podcast Recording Computer Mic for PS4/5, Discord, Twitch, Cardioid Condenser Mic with Adjustable Boom Arm Stand TC30S+",BLR8,IN,40.29,14.10,11.10,centimeter,1.30,kilograms,0.0063,cubic meter,1.0,0.0,0.0063,2026-05,2083.88,INR,13.1354,0.0
B0BRCR2QQ7,X0026KGQB7,"TONOR USB Gaming Microphone, RGB Streaming Microfono Set, PC Podcast Recording Computer Mic for PS4/5, Discord, Twitch, Cardioid Condenser Mic with Adjustable Boom Arm Stand TC30S+",DEL5,IN,40.29,14.10,11.10,centimeter,1.30,kilograms,0.0063,cubic meter,2.45,0.45,0.0126,2026-05,2083.88,INR,26.2708,0.0
B0CCV74CL7,X001WROOHN,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",DEL4,IN,40.79,15.49,13.70,centimeter,1.07,kilograms,0.0087,cubic meter,0.32,0.0,0.0028,2026-05,2083.88,INR,5.777,0.0
B0FFM8LKFG,X002GZUYSX,"ORIGINALS Premium Unisex Perfume Gift Set | 5 x 20ml Eau de Parfum (EDP) | Long Lasting (12-16 hours) | Perfect for Gifting, Travel & Everyday Style",MAA4,IN,21.10,13.00,3.90,centimeter,0.54,kilograms,0.0011,cubic meter,14.71,0.0,0.0157,2026-05,2083.88,INR,32.8089,0.0
B0FFM8LKFG,X002GZUYSX,"ORIGINALS Premium Unisex Perfume Gift Set | 5 x 20ml Eau de Parfum (EDP) | Long Lasting (12-16 hours) | Perfect for Gifting, Travel & Everyday Style",BLR8,IN,21.10,13.00,3.90,centimeter,0.54,kilograms,0.0011,cubic meter,22.45,0.0,0.0240,2026-05,2083.88,INR,50.0749,0.0
B0FFM8LKFG,X002GZUYSX,"ORIGINALS Premium Unisex Perfume Gift Set | 5 x 20ml Eau de Parfum (EDP) | Long Lasting (12-16 hours) | Perfect for Gifting, Travel & Everyday Style",BOM5,IN,21.10,13.00,3.90,centimeter,0.54,kilograms,0.0011,cubic meter,15.48,0.0,0.0166,2026-05,2083.88,INR,34.5262,0.0
B0FFM8LKFG,X002GZUYSX,"ORIGINALS Premium Unisex Perfume Gift Set | 5 x 20ml Eau de Parfum (EDP) | Long Lasting (12-16 hours) | Perfect for Gifting, Travel & Everyday Style",HYD3,IN,21.10,13.00,3.90,centimeter,0.54,kilograms,0.0011,cubic meter,21.68,0.0,0.0232,2026-05,2083.88,INR,48.3579,0.0
B072F5J32C,X001SVNVNV,Lewitt LCT-240 Pro Cardioid Condenser Microphone for Professional Recording (Black),BOM7,IN,29.40,21.11,11.50,centimeter,1.19,kilograms,0.0071,cubic meter,0.13,0.0,0.0009,2026-05,2083.88,INR,1.9355,0.0
B072F5J32C,X001SVNVNV,Lewitt LCT-240 Pro Cardioid Condenser Microphone for Professional Recording (Black),LKO1,IN,29.40,21.11,11.50,centimeter,1.19,kilograms,0.0071,cubic meter,2.94,0.0,0.0189,2026-05,2083.88,INR,39.4061,0.29
B072F5J32C,X001SVNVNV,Lewitt LCT-240 Pro Cardioid Condenser Microphone for Professional Recording (Black),DED4,IN,29.40,21.11,11.50,centimeter,1.19,kilograms,0.0071,cubic meter,0.13,0.0,0.0009,2026-05,2083.88,INR,1.9355,0.0
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,BLR7,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,14.52,0.0,0.0260,2026-05,2083.88,INR,54.1761,0.13
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,LKO1,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,0.55,0.0,0.0009,2026-05,2083.88,INR,1.9591,0.03
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,DEL2,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,0.1,0.0,0.0002,2026-05,2083.88,INR,0.3777,0.0
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,DEL5,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,0.71,0.0,0.0012,2026-05,2083.88,INR,2.561,0.03
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,BLR5,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2243,0.0
B0DKK15YNJ,X00288T9H5,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,BOM5,IN,24.30,11.61,6.40,centimeter,0.45,kilograms,0.0018,cubic meter,28.74,0.0,0.0517,2026-05,2083.88,INR,107.8214,0.1
