week,brand,model,channel,sku,sku_status,units_sold,gross_sales,gmv,nlc,sales_nlc,category_l0,category_l1,category_l2
Week 8,Nexlev,HSB-04,Amazon,FBA79406,MAPPED,17,35344.5,35344.5,961,16337,HPC,Hair Care,Hair Straightener Brush - Cordless
Week 8,Nexlev,HU-01,Amazon,FBA79681,MAPPED,3,5082.20339,5082.20339,829,2487,Home & Kitchen,Air Purifier,Humidifier Black
Week 8,Nexlev,HU-02,Amazon,FBA79682,MAPPED,5,8894.067797,8894.067797,818,4090,Home & Kitchen,Air Purifier,Humidifier White
Week 8,Nexlev,KE-01,Amazon,FBA79488,MAPPED,9,13321.33051,13321.33051,984,8856,Home & Kitchen,Kitchen Appliances,Electric Multi Kettles
Week 8,Nexlev,KE-02,Amazon,FBA79489,MAPPED,5,6902.542373,6902.542373,980,4900,Home & Kitchen,Kitchen Appliances,Electric Multi Kettles
Week 8,Nexlev,KE-03,Amazon,FBA79809,MAPPED,1,465.2542373,465.2542373,324,324,Home & Kitchen,Kitchen Appliances,Electric Kettle
Week 8,Nexlev,KM-01,Amazon,FBA79591,MAPPED,3,4052.542373,4052.542373,1039,3117,HPC,Electric Massagers,Knee Massager
Week 8,Nexlev,LE-02,Amazon,FBA79440,MAPPED,7,11892.37288,11892.37288,810,5670,HPC,Hair Care,Hair Therapy Comb
Week 8,Nexlev,LE-03,Amazon,FBA79443,MAPPED,1,1439.830508,1439.830508,1089,1089,HPC,Skin Care,LED Face & Skin Care Massager
Week 8,Nexlev,LE-04,Amazon,FBA79469,MAPPED,3,3836.440678,3836.440678,594,1782,HPC,Skin Care,Skin Lift Device
Week 8,Nexlev,LR-01,Amazon,FBA79279,MAPPED,12,9157.627119,9157.627119,444,5328,Home & Kitchen,Fabric Care,Lint Remover
Week 8,Nexlev,LR-01 Set of 2 blades,Amazon,FBA79606,MAPPED,1,317.7966102,317.7966102,108,108,Home & Kitchen,Set of 2 blades,Spares
Week 8,Nexlev,LR-02,Amazon,FBA79280,MAPPED,43,53430.52542,53430.52542,899,38657,Home & Kitchen,Fabric Care,Lint Remover
Week 8,Nexlev,LR-02 Set of 2 blades,Amazon,FBA79607,MAPPED,0,0,0,145,0,Home & Kitchen,Set of 2 blades,Spares
Week 8,Nexlev,LR-03,Amazon,FBA79819,MAPPED,27,8216.101695,8216.101695,145,3915,Home & Kitchen,Fabric Care,Lint Remover
Week 8,Nexlev,MC-01,Amazon,FBA79811,MAPPED,19,9644.915254,9644.915254,297,5643,Home & Kitchen,Kitchen Appliances,Electric Mini Chopper
Week 8,Nexlev,MF-01,Amazon,FBA79810,MAPPED,2,930.5084746,930.5084746,261,522,Home & Kitchen,Kitchen Appliances,Milk Frother
Week 8,Nexlev,MG-01,Amazon,FBA79596,MAPPED,0,0,0,926,0,HPC,Electric Massagers,Massage Gun
Week 8,Nexlev,MGC-03,Amazon,FBA79687,MAPPED,0,0,0,980,0,HPC,Electric Massagers,Hot & Cold Massage Gun
Week 8,Nexlev,MGS-02,Amazon,FBA79686,MAPPED,0,0,0,436,0,HPC,Electric Massagers,Massage Gun - Mini
Week 8,Nexlev,MM-01,Amazon,FBA79688,MAPPED,0,0,0,6146,0,HPC,Electric Massagers,Foldable Massage Mat
Week 8,Nexlev,MR-01,Amazon,FBA79263,MAPPED,65,144985.6102,144985.6102,1162,75530,Home & Kitchen,Cleaning & Vacumming,Mite Remover
Week 8,Nexlev,MR-01 HEPA Filter,Amazon,FBA79436,MAPPED,0,0,0,35,0,Home & Kitchen,HEPA Filter,Spares
Week 8,Nexlev,MR-02,Amazon,FBA79439,MAPPED,25,72012.71186,72012.71186,1381,34525,Home & Kitchen,Cleaning & Vacumming,Mite Remover
Week 8,Nexlev,MR-02 HEPA Filter,Amazon,FBA79721,MAPPED,8,1186.440678,1186.440678,45,360,Home & Kitchen,HEPA Filter,Spares
Week 8,Nexlev,NP-01,Amazon,FBA78994,MAPPED,0,0,0,413,0,Home & Kitchen,Travel Accessories,Travel Pillow
Week 8,Nexlev,NP-03,Amazon,FBA78996,MAPPED,0,0,0,413,0,Home & Kitchen,Travel Accessories,Travel Pillow
Week 8,Nexlev,NP-05,Amazon,FBA78998,MAPPED,0,0,0,558,0,Home & Kitchen,Travel Accessories,Travel Pillow
Week 8,Nexlev,NP-06,Amazon,FBA79677,MAPPED,0,0,0,501,0,Home & Kitchen,Travel Accessories,Donut Travel Pillow
Week 8,Nexlev,NP-07,Amazon,FBA79678,MAPPED,0,0,0,501,0,Home & Kitchen,Travel Accessories,Donut Travel Pillow
Week 8,Nexlev,PB-01,Amazon,FBA79812,MAPPED,15,26089.83051,26089.83051,1307,19605,Home & Kitchen,Kitchen Appliances,Portable Blender
Week 8,Nexlev,PM-02,Amazon,FBA79690,MAPPED,0,0,0,963,0,HPC,Electric Massagers,Handheld Percussion Massager
Week 8,Nexlev,SC-01,Amazon,FBA78981,MAPPED,65,192801.6949,192801.6949,1786,116090,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
Week 8,Nexlev,SC-01 Set of Spares,Amazon,FBA79771,MAPPED,1,338.1355932,338.1355932,350,350,Home & Kitchen,Set of Spares,Spares
Week 8,Nexlev,SC-02,Amazon,FBA79262,MAPPED,10,14527.9661,14527.9661,1377,13770,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
Week 8,Nexlev,SC-03,Amazon,FBA79277,MAPPED,2,12032.20339,12032.20339,4052,8104,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
Week 8,Nexlev,SC-04,Amazon,FBA79567,MAPPED,27,127504.2373,127504.2373,2695,72765,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
Week 8,Nexlev,SC-04 Set of 2 Mops,Amazon,FBA79714,MAPPED,5,2012.711864,2012.711864,82,410,Home & Kitchen,Set of 2 Mops,Spares
Week 8,Nexlev,SC-04 Spare Set,Amazon,FBA79843,MAPPED,0,0,0,40,0,Home & Kitchen,Spare Set,Spares
Week 8,Nexlev,SC-05,Amazon,FBA79652,MAPPED,40,86159.33051,86159.33051,1443,57720,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
Week 8,Nexlev,SC-05 SC-05 - Set of Spares,Amazon,FBA79912,MAPPED,0,0,0,350,0,Home & Kitchen,SC-05 - Set of Spares,Spares
Week 8,Nexlev,SM-01,Amazon,FBA79276,MAPPED,6,19571.18644,19571.18644,2357,14142,Home & Kitchen,Cleaning & Vacumming,Steam Mop
Week 8,Nexlev,SM-01 Set of 2 Mops,Amazon,FBA79716,MAPPED,1,338.1355932,338.1355932,300,300,Home & Kitchen,Set of 2 Mops,Spares
Week 8,Nexlev,SPM-01 Set of 2 Mops,Amazon,FBA79717,MAPPED,0,0,0,250,0,Home & Kitchen,Set of 2 Mops,Spares
Week 8,Nexlev,SPM-01(New),Amazon,FBA79699,MAPPED,0,0,0,2827,0,Home & Kitchen,Cleaning & Vacumming,Electric Spin Mop Swipe
Week 8,Nexlev,SS-01(New),Amazon,FBA79698,MAPPED,1,2117.79661,2117.79661,1227,1227,Home & Kitchen,Cleaning & Vacumming,Electric Spin Scrubber
Week 8,Nexlev,SS-02,Amazon,FBA79589,MAPPED,5,8894.067797,8894.067797,1306,6530,Home & Kitchen,Cleaning & Vacumming,Electric Spin Scrubber
Week 8,Nexlev,SS-02 Set of Spares,Amazon,FBA79657,MAPPED,0,0,0,350,0,Home & Kitchen,Set of Spares,Spares
Week 8,Nexlev,ST-01,Amazon,FBA79679,MAPPED,9,42933.05085,42933.05085,3423,30807,Home & Kitchen,Kitchen Appliances,Stand Mixer
Week 8,Nexlev,ST-01 ST-01 Set of Hooks,Amazon,FBA79915,MAPPED,0,0,0,550,0,Home & Kitchen,ST-01 Set of Hooks,Spares
Week 8,Nexlev,SW-01,Amazon,FBA79349,MAPPED,37,34497.45763,34497.45763,409,15133,Home & Kitchen,Fabric Care,Mini Sewing Machine
Week 8,Nexlev,T-01,Amazon,FBА79266,MAPPED,1,863.559322,863.559322,516,516,HPC,Trimmers & Body Groomers,Women Trimmer
Week 8,Nexlev,T-02,Amazon,FBA79267,MAPPED,7,5926.271186,5926.271186,606,4242,HPC,Trimmers & Body Groomers,Women Trimmer
Week 8,Nexlev,TI-01,Amazon,FBA79466,MAPPED,0,0,0,1250,0,Home & Kitchen,Car Accessories,Tyre Inflators - Corded
Week 8,Nexlev,TI-02,Amazon,FBA79473,MAPPED,0,0,0,865,0,Home & Kitchen,Car Accessories,Tyre Inflators - Corded
Week 8,Nexlev,TIC-04,Amazon,FBA79475,MAPPED,0,0,0,1392,0,Home & Kitchen,Car Accessories,Tyre Inflators - Cordless
Week 8,Nexlev,TM-01,Amazon,FBA79467,MAPPED,0,0,0,483,0,HPC,Trimmers & Body Groomers,Men's Beard Trimmer
Week 8,Nexlev,TM-02,Amazon,FBA79481,MAPPED,0,0,0,1302,0,HPC,Trimmers & Body Groomers,Intimate Trimmer
Week 8,Nexlev,TM-03,Amazon,FBA79483,MAPPED,1,0,0,594,594,HPC,Trimmers & Body Groomers,Men's Body Trimmer
Week 8,Nexlev,TM-04,Amazon,FBA79485,MAPPED,0,0,0,460,0,HPC,Trimmers & Body Groomers,Body & Nose Trimmer
Week 8,Nexlev,TM-05,Amazon,FBA79693,MAPPED,0,0,0,1177,0,HPC,Trimmers & Body Groomers,Vacuum Trimmer
Week 8,Nexlev,V-01,Amazon,FBA79271,MAPPED,9,10670.33898,10670.33898,728,6552,HPC,Hair Care,Volumizer
Week 8,Nexlev,V-01 RG,Amazon,FBK79271,MAPPED,11,12703.38983,12703.38983,663,7293,HPC,Hair Care,Volumizer
Week 8,Nexlev,V-02,Amazon,FBA79492,MAPPED,1,1948.305085,1948.305085,1095,1095,HPC,Hair Care,Volumizer
Week 8,Nexlev,V-03,Amazon,FBA79493,MAPPED,36,59759.32203,59759.32203,852,30672,HPC,Hair Care,Volumizer
Week 8,Nexlev,VC-01,Amazon,FBA79452,MAPPED,26,39133.89831,39133.89831,1088,28288,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 8,Nexlev,VC-03,Amazon,FBA79480,MAPPED,1,1694.067797,1694.067797,803,803,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 8,Nexlev,VC-04,Amazon,FBA79565,MAPPED,0,0,0,1112,0,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 8,Nexlev,VC-05,Amazon,FBA79566,MAPPED,7,12433.90678,12433.90678,1063,7441,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 8,Nexlev,"VC-05 VC-05 -Set of Spares(Crevice, Brush & Hose)",Amazon,FBA79913,MAPPED,0,0,0,350,0,Home & Kitchen,"VC-05 -Set of Spares(Crevice, Brush & Hose)",Spares
Week 9,Nexlev,AP-01,Amazon,FBA79683,MAPPED,0,0,0,10158,0,Home & Kitchen,Air Purifier,Air Purifier
Week 9,Nexlev,AP-01 HEPA,Amazon,FBA79777,MAPPED,0,0,0,2350,0,Home & Kitchen,HEPA,Spares
Week 9,Nexlev,AP-03,Amazon,FBA79692,MAPPED,8,26400.00847,26400.00847,2005,16040,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini
Week 9,Nexlev,AP-03 HEPA,Amazon,FBA79778,MAPPED,2,1862.711864,1862.711864,500,1000,Home & Kitchen,HEPA,Spares
Week 9,Nexlev,BM-02,Amazon,FBA79598,MAPPED,0,0,0,970,0,HPC,Electric Massagers,Back & Shoulder Massager
Week 9,Nexlev,BR-01,Amazon,FBA79570,MAPPED,11,14897.66102,14897.66102,536,5896,HPC,Skin Care,Blackhead Remover
Week 9,Nexlev,CF-01,Amazon,FBA79484,MAPPED,2,1270.338983,1270.338983,716,1432,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker
Week 9,Nexlev,CFM-01,Amazon,FBA79590,MAPPED,12,29793.22034,29793.22034,1014,12168,HPC,Electric Massagers,Calf Massager
Week 9,Nexlev,CFM-02,Amazon,FBA79689,MAPPED,0,0,0,3229,0,HPC,Electric Massagers,Complete Leg Massager
Week 9,Nexlev,CFM-03,Amazon,FBA79849,MAPPED,6,25927.11864,25927.11864,2004,12024,HPC,Electric Massagers,Calf Massager
Week 9,Nexlev,CM-01-BL,Amazon,FBA79464,MAPPED,0,0,0,560,0,HPC,Electric Massagers,Electric Heating Pads
Week 9,Nexlev,CM-02-PR,Amazon,FBA79472,MAPPED,3,3367.79661,3367.79661,560,1680,HPC,Electric Massagers,Electric Heating Pads
Week 9,Nexlev,CR-01,Amazon,FBA79265,MAPPED,3,1768.644068,1768.644068,533,1599,HPC,Skin Care,Callus Remover
Week 9,Nexlev,DF-01-BK,Amazon,FBA79174,MAPPED,1,1386.440678,1386.440678,1073,1073,HPC,Oral Care,Dental Flosser
Week 9,Nexlev,DH-01,Amazon,FBM79991,MAPPED,2,6777.966102,6777.966102,0,0,Home & Kitchen,"Heating, Cooling & Air Quality",Dehumidifiers
Week 9,Nexlev,EA-01,Amazon,FBA79350,MAPPED,11,10282.20339,10282.20339,710,7810,HPC,Hair Care,Hair Oil Applicator
Week 9,Nexlev,EA-02,Amazon,FBA79573,MAPPED,2,4744.067797,4744.067797,1345,2690,HPC,Hair Care,Hair Oil Applicator
Week 9,Nexlev,ET-01-BK_N,Amazon,FBA79373,MAPPED,27,6838.991525,6838.991525,295,7965,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ET-02-GN_N,Amazon,FBA79374,MAPPED,26,6585.601695,6585.601695,295,7670,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ETC-04-WH,Amazon,FBA79346,MAPPED,2,1367.79661,1367.79661,412,824,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ETC-05-PI,Amazon,FBA79347,MAPPED,0,0,0,413,0,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ETC-07-WH,Amazon,FBA79673,MAPPED,11,6982.20339,6982.20339,371,4081,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ETC-08-BL,Amazon,FBA79707,MAPPED,6,3808.474576,3808.474576,373,2238,HPC,Oral Care,Electric Toothbrush
Week 9,Nexlev,ETR-06,Amazon,FBA79381,MAPPED,4,4233.898305,4233.898305,672,2688,HPC,Oral Care,Electric Toothbrush - Oscillating
Week 9,Nexlev,FS-01,Amazon,FBA79404,MAPPED,6,9208.474576,9208.474576,896,5376,HPC,Skin Care,Face Steamer
Week 9,Nexlev,GS-01,Amazon,FBA78979,MAPPED,0,0,0,1260,0,Home & Kitchen,Fabric Care,Garment steamer
Week 9,Nexlev,GS-02,Amazon,FBA78980,MAPPED,30,48396.63559,48396.63559,1260,37800,Home & Kitchen,Fabric Care,Garment steamer
Week 9,Nexlev,GS-04,Amazon,FBA79229,MAPPED,1,1694.067797,1694.067797,1512,1512,Home & Kitchen,Fabric Care,Garment steamer
Week 9,Nexlev,GS-05,Amazon,FBA79268,MAPPED,27,37615.25424,37615.25424,987,26649,Home & Kitchen,Fabric Care,Garment steamer
Week 9,Nexlev,HB-01,Amazon,FBA79676,MAPPED,1,2965.254237,2965.254237,1175,1175,HPC,Electric Massagers,Heated Wrap Belt
Week 9,Nexlev,HD-01,Amazon,FBA79278,MAPPED,1,1100.847458,1100.847458,769,769,HPC,Hair Care,Hair Dryer
Week 9,Nexlev,HD-02,Amazon,FBA79348,MAPPED,0,0,0,448,0,HPC,Hair Care,Hair Dryer
Week 9,Nexlev,HM-01,Amazon,FBA79332,MAPPED,0,0,0,490,0,HPC,Hair Care,Head Massager
Week 9,Nexlev,HS-01,Amazon,FBA79272,MAPPED,0,0,0,378,0,HPC,Hair Care,Hair Straightener
